State,name,lat,long,test,link
AL,USFS - Bankhead Ranger District Office,34.1715,-87.4009,Voluntary,https://maps.app.goo.gl/khufXacb2c94o4VB7
AL,Weavers Meat Processing,34.37027,-86.99666,Voluntary,https://maps.app.goo.gl/yPPn3CXnBHCtz4sX7
AL,Van's Sporting Goods,34.1242,-86.888,Voluntary,https://maps.app.goo.gl/B2UbHUMd4WdCNRfS7
AL,Redstone Arsenal - Outdoor Recreation,34.64997,-86.62491,Voluntary,https://maps.app.goo.gl/GjHKpqEw8ymvgKfG7
AL,Jenkins Deer Processing,34.76147,-86.3799,Voluntary,https://maps.app.goo.gl/853p2rAQAAqZ41AT8
AL,JDM-Skyline WMA Check Station,34.86509,-86.10105,Voluntary,https://maps.app.goo.gl/DyJyuzr7DVBMv6mPA
AL,Little River WMA Check Station,34.39172,-85.60963,Voluntary,https://maps.app.goo.gl/MoSv2Q9eiq7XMY827
AL,Boldo Deer Processing,33.8645,-87.166,Voluntary,https://maps.app.goo.gl/xoYShsyUUrTMXZ3j7
AL,District II WFF Office,33.86714,-85.7372,Voluntary,https://maps.app.goo.gl/xSjHgsLYBVFo1JUL8
AL,Fayette County ACES Office,33.7303,-87.8048,Voluntary,https://maps.app.goo.gl/Ae6shyRsSemtvDA46
AL,Choccolocco WMA Check Station,33.7144,-85.6726,Voluntary,https://maps.app.goo.gl/7j3NASh8nkYAdoFq8
AL,Buddy's Sports Country,33.52578,-85.63849,Voluntary,https://maps.app.goo.gl/yhQArWFRF6nQVtu67
AL,West Alabama Ag Company,33.27561,-88.09399,Voluntary,https://maps.app.goo.gl/NRjLh3V5zoKkZ197A
AL,District III WFF Office,33.23388,-87.63783,Voluntary,https://maps.app.goo.gl/XitcGvu8LjGB28Ub7
AL,Deerman's Horns and Hooves,33.17197,-87.29034,Voluntary,https://maps.app.goo.gl/9nX27Bwfxpc3GtqJA
AL,William R. Ireland- Cahaba River WMA,33.16323,-86.9549,Voluntary,https://maps.app.goo.gl/NodC3kX4xp6vC9cp6
AL,Shelby County Extension Office,33.17813,-86.63319,Voluntary,https://maps.app.goo.gl/mYvHJK3kcmG5qWBX6
AL,Cabaniss Feed and Farm Supply,33.15938,-86.2724,Voluntary,https://maps.app.goo.gl/Hu9JXw29WsviPDWBA
